"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"20","H3P10",2193.9917,129.2119,1966.9529,1207.0521,2196.0027,856.06537,3744.9119,97.2869
"21","RASA4CP",589.3582,125.19841,1148.0323,465.4176,1357.6228,714.81555,1102.7112,33.695618
"22","PVT1",730.9964,57.21667,583.4203,252.94742,825.47253,195.30974,518.53314,64.30002
"23","KLF3-AS1",210.85886,20.959862,150.94221,89.977554,158.39664,63.154743,241.51347,29.002209
"24","PMS2CL",47.33383,11.28885,41.345066,29.806574,43.93031,18.921722,89.7237,5.6366005
"25","PCDH11Y",109.450134,9.225981,119.519135,51.94157,141.88748,33.81748,167.46097,8.050079
"26","GPRIN3",2344.1187,102.42817,4.9999995,759.80865,74.007645,219.70679,190.09486,5.767164
"27","NACA4P",295986.7,20730.209,288793.94,144326.72,280401.3,122462.25,359615.28,47662.83
"28","FAM225A",131.72058,30.511578,173.31773,97.15371,161.04514,63.372395,294.8652,26.54842
"29","EMCN",126.64873,33.001896,173.12106,108.0225,186.65816,71.300224,185.12498,20.223211
"30","LINC01278",356.8122,41.306656,416.7921,231.31644,406.41345,136.14113,772.5609,35.92923
"31","SYT14",31.962982,11.007911,34.609833,23.301243,57.51239,14.066531,68.10925,5.090634
"32","NDUFB1P1",76.6272,4.9999995,43.37686,21.148592,61.27849,4.9999995,30.4463,4.9999995
"33","SDK1",4663.5195,38.685966,1543.1794,432.4566,3558.8406,269.14786,4452.5225,469.87646
