ProbeName,[149PE+](raw),[149PE-](raw),[225PE+](raw),[225PE-](raw),[320PE+](raw),[320PE-](raw),[Control_1](raw),[Control_2](raw),GeneSymbol
CUST_252_PI426073487,788.7095,88.460846,177.1995,130.83902,23.301367,169.54308,366.8074,627.7384,uc.254
CUST_210_PI426073487,28.136168,19.153933,73.00618,40.54177,124.78549,35.488205,93.63314,16.188509,uc.212
ASHG19A3L0001753,86.43837,4.9999995,30.886684,16.8645,91.78909,19.855742,64.714775,6.3526263,lincRNA-IGF2R
ASHG19A3A020907,22.26379,34.041527,27.383713,24.4069,16.206663,30.579412,23.99657,51.687443,
ASHG19A3A020907,22.26379,34.041527,27.383713,24.4069,16.206663,30.579412,23.99657,51.687443,
ASHG19A3A028539,126.880714,29.763357,145.76788,79.02164,157.1392,40.29058,216.76512,23.016685,FIS
ASHG19A3A020813,2193.9917,129.2119,1966.9529,1207.0521,2196.0027,856.06537,3744.9119,97.2869,AC133141.1
ASHG19A3A020813,2193.9917,129.2119,1966.9529,1207.0521,2196.0027,856.06537,3744.9119,97.2869,AC133141.1
ASHG19A3A043454,111.66169,19.47232,97.78109,62.512676,121.73192,26.397095,564.90063,14.116718,
ASHG19A3A047366,426.19016,34.63842,196.88971,34.689415,282.64194,31.922525,386.2225,29.11938,
ASHG19A3A032740,589.3582,125.19841,1148.0323,465.4176,1357.6228,714.81555,1102.7112,33.695618,RASA4P
ASHG19A3A036927,730.9964,57.21667,583.4203,252.94742,825.47253,195.30974,518.53314,64.30002,MYC
ASHG19A3A052413,47.582985,19.597683,74.59894,30.443462,65.50998,29.43791,124.72484,16.77605,
ASHG19A3A054799,438.00577,144.28731,676.91284,209.67838,808.09094,252.45822,767.6576,115.40822,RP11-331F4.4
ASHG19A3A047749,27.889387,6.992619,33.88181,28.359737,56.62812,20.76966,40.8709,4.9999995,
ASHG19A3A024075,210.85886,20.959862,150.94221,89.977554,158.39664,63.154743,241.51347,29.002209,RP11-617D20.1
ASHG19A3A024788,34.858368,4.9999995,39.54667,31.62939,81.098015,16.993618,48.171978,7.722331,
ASHG19A3A026690,5651.0903,85.85473,2213.1682,680.9048,6715.4585,594.09937,13719.301,115.890686,CTD-2653M23.2
ASHG19A3A026690,5651.0903,85.85473,2213.1682,680.9048,6715.4585,594.09937,13719.301,115.890686,CTD-2653M23.2
ASHG19A3A054040,171.16086,31.52222,171.81079,137.19824,187.50671,82.82733,232.27946,32.7034,
ASHG19A3A033940,47.33383,11.28885,41.345066,29.806574,43.93031,18.921722,89.7237,5.6366005,PMS2CL
ASHG19A3L0001169,104.4843,20.29178,123.069405,86.694786,131.67805,49.962166,236.1905,23.174454,lincRNA-COPS8-2
ASHG19A3A050707,109.450134,9.225981,119.519135,51.94157,141.88748,33.81748,167.46097,8.050079,KRT18P6
ASHG19A3A011930,94124.555,4697.0225,57974.03,20303.807,154586.23,15879.542,142836.98,14037.575,CTD-2583A14.1
ASHG19A3A048330,1546.2917,136.09308,1881.3817,861.74304,2274.01,606.9576,1923.897,187.8803,
ASHG19A3L0003260,4.9999995,9.075055,63.51906,87.06976,54.223637,189.6498,31.276707,4.9999995,lincRNA-TFAP4-2
ASHG19A3A024483,2344.1187,102.42817,4.9999995,759.80865,74.007645,219.70679,190.09486,5.767164,AK026379
ASHG19A3A026263,295986.7,20730.209,288793.94,144326.72,280401.3,122462.25,359615.28,47662.83,NACA3P
ASHG19A3L0001765,1522.335,148.08119,1906.1693,472.4391,1491.991,445.06128,3317.7,208.20094,lincRNA-DACT2-3
ASHG19A3A047649,583.3902,18.25689,734.5926,121.04276,214.71025,25.973953,313.57245,4.9999995,LOC100240735
ASHG19A3A037924,131.72058,30.511578,173.31773,97.15371,161.04514,63.372395,294.8652,26.54842,C9orf110
ASHG19A3A047265,114221.87,6161.34,125213.99,53087.797,129803.82,35042.01,174235.47,24297.088,RP11-69M1.1
ASHG19A3A024538,126.64873,33.001896,173.12106,108.0225,186.65816,71.300224,185.12498,20.223211,RP11-167N19.2
ASHG19A3A007175,356.8122,41.306656,416.7921,231.31644,406.41345,136.14113,772.5609,35.92923,LOC92249
ASHG19A3A007329,28.993055,4.9999995,41.717445,32.042366,129.88293,73.07928,13.811649,4.9999995,ARL6IP6
ASHG19A3A007329,28.993055,4.9999995,41.717445,32.042366,129.88293,73.07928,13.811649,4.9999995,ARL6IP6
ASHG19A3A039418,31.962982,11.007911,34.609833,23.301243,57.51239,14.066531,68.10925,5.090634,SYT14
ASHG19A3A039418,31.962982,11.007911,34.609833,23.301243,57.51239,14.066531,68.10925,5.090634,SYT14
ASHG19A3A039418,31.962982,11.007911,34.609833,23.301243,57.51239,14.066531,68.10925,5.090634,SYT14
ASHG19A3A039418,31.962982,11.007911,34.609833,23.301243,57.51239,14.066531,68.10925,5.090634,SYT14
ASHG19A3A022588,76.6272,4.9999995,43.37686,21.148592,61.27849,4.9999995,30.4463,4.9999995,NDUFB1P1
ASHG19A3A022588,76.6272,4.9999995,43.37686,21.148592,61.27849,4.9999995,30.4463,4.9999995,NDUFB1P1
ASHG19A3A052262,4663.5195,38.685966,1543.1794,432.4566,3558.8406,269.14786,4452.5225,469.87646,RP11-330L19.2
ASHG19A3A032885,48.272213,6.9317007,47.42378,24.632088,59.824684,12.272401,113.6292,8.075994,RP11-73B2.1
ASHG19A3A049238,364.2286,98.361336,438.7325,212.10956,410.37512,166.17694,567.3732,73.3227,RP11-484H12.3
ASHG19A3L0001075,44.57461,7.6440725,47.70643,88.34044,42.415634,11.25728,66.33057,9.693096,lincRNA-LRP1B-1
ASHG19A3A020288,90.77558,4.9999995,54.52185,45.774338,45.40985,15.049409,67.13318,9.424558,CTA-292E10.6
ASHG19A3A020288,90.77558,4.9999995,54.52185,45.774338,45.40985,15.049409,67.13318,9.424558,CTA-292E10.6
ASHG19A3A028295,42.057896,9.148484,51.1147,37.3343,166.37231,20.568808,121.4626,8.895732,AC092373.1
ASHG19A3A051755,123.562256,11.0161705,119.71911,72.4967,164.75993,38.654766,209.8338,7.2954683,AL358073.1
ASHG19A3A048266,300.75378,4.9999995,175.70927,110.78581,144.27939,32.266502,512.93054,7.712272,CR609342
ASHG19A3A048266,300.75378,4.9999995,175.70927,110.78581,144.27939,32.266502,512.93054,7.712272,CR609342
ASHG19A3A000408,17.45995,15.513642,32.93203,135.12521,1265.6327,26.744652,10.17491,7.5042553,RP11-364F11.1
ASHG19A3A000408,17.45995,15.513642,32.93203,135.12521,1265.6327,26.744652,10.17491,7.5042553,RP11-364F11.1
ASHG19A3A000408,17.45995,15.513642,32.93203,135.12521,1265.6327,26.744652,10.17491,7.5042553,RP11-364F11.1
ASHG19A3A000408,17.45995,15.513642,32.93203,135.12521,1265.6327,26.744652,10.17491,7.5042553,RP11-364F11.1
ASHG19A3A000408,17.45995,15.513642,32.93203,135.12521,1265.6327,26.744652,10.17491,7.5042553,RP11-364F11.1
ASHG19A3A000408,17.45995,15.513642,32.93203,135.12521,1265.6327,26.744652,10.17491,7.5042553,RP11-364F11.1
ASHG19A3A000408,17.45995,15.513642,32.93203,135.12521,1265.6327,26.744652,10.17491,7.5042553,RP11-364F11.1
ASHG19A3A047487,136719.52,1994.2926,75895.12,23896.297,107789.234,14018.899,125448.125,22188.123,RP11-73B8.1
